lsoa,os,left,right,top,bottom
E01000216,E00001063,-0.204495238,-0.197117242,51.58275631,51.57585733
E01000217,E00001095,-0.206430733,-0.200175732,51.58628638,51.5797829
E01000218,E00001062,-0.212976188,-0.20041327,51.57946301,51.57484245
E01000219,E00001066,-0.218109088,-0.206605258,51.57870966,51.57385931
E01000220,E00001069,-0.21168405,-0.2041285,51.57819663,51.57206554
E01000221,E00001061,-0.229822371,-0.210080863,51.57693394,51.56972495
E01000222,E00001080,-0.220521687,-0.206726693,51.57321731,51.56636625
E01000223,E00001083,-0.232235097,-0.21380966,51.57222285,51.56312142
E01000224,E00001086,-0.217749675,-0.20823027,51.56792213,51.56293362
E01000225,E00001092,-0.210986656,-0.199797357,51.58977862,51.58220588
E01000226,E00001110,-0.270536103,-0.260514801,51.61197302,51.60837838
E01000227,E00001145,-0.27106619,-0.262337448,51.61841063,51.61140242
E01000228,E00001108,-0.273094966,-0.235942285,51.6428175,51.62362647
E01000229,E00001119,-0.269410101,-0.260421892,51.62885613,51.6199843
E01000230,E00001120,-0.271516634,-0.265456176,51.62840318,51.61745437
E01000231,E00001123,-0.263645368,-0.252095103,51.62891901,51.62124314
E01000232,E00001136,-0.266725714,-0.255272071,51.6224277,51.61599353
E01000233,E00001141,-0.265637795,-0.254196523,51.61810819,51.61169479
E01000234,E00001135,-0.260226446,-0.249881284,51.61980091,51.61193281
E01000235,E00001107,-0.261986047,-0.244626453,51.61373244,51.6069269
E01000236,E00001169,-0.218202626,-0.208869262,51.58744155,51.58102351
E01000237,E00001157,-0.232407762,-0.215452803,51.5883517,51.58272611
E01000238,E00001158,-0.218030765,-0.205131058,51.59124343,51.58676143
E01000239,E00001164,-0.238456053,-0.226771477,51.59879408,51.58681209
E01000240,E00001178,-0.238489645,-0.2199438,51.60183576,51.59370281
E01000241,E00001182,-0.231293327,-0.217898968,51.59729145,51.59098088
E01000242,E00001155,-0.221606476,-0.211700491,51.59582923,51.58993923
E01000243,E00001160,-0.22556025,-0.213761619,51.59387694,51.58817965
E01000244,E00001161,-0.23385184,-0.222907762,51.59469591,51.58777473
E01000245,E00001159,-0.225618868,-0.216415541,51.58974472,51.58448357
E01000246,E00001216,-0.194572206,-0.175225158,51.66353658,51.64739917
E01000247,E00001210,-0.185386148,-0.174452289,51.65784664,51.65151581
E01000248,E00001224,-0.217076492,-0.20169596,51.65774542,51.65160337
E01000249,E00001217,-0.222104592,-0.205728645,51.66284176,51.64972835
E01000250,E00001211,-0.206608431,-0.186293087,51.65908008,51.64945084
E01000251,E00001206,-0.18467489,-0.17361174,51.65339591,51.64724128
E01000252,E00001207,-0.190780226,-0.180993415,51.65334725,51.64695134
E01000253,E00001208,-0.25551155,-0.217187911,51.65997172,51.64099817
E01000254,E00001209,-0.211159359,-0.182110078,51.67016674,51.65626761
E01000255,E00001256,-0.233533315,-0.217670088,51.62440885,51.60676987
E01000256,E00001257,-0.244318829,-0.225814479,51.61398349,51.60495656
E01000257,E00001260,-0.216581453,-0.197655268,51.61320906,51.60392703
E01000258,E00001261,-0.248876009,-0.230337847,51.62246229,51.60832479
E01000259,E00001285,-0.228929052,-0.206265724,51.61253953,51.59747861
E01000260,E00001258,-0.24515493,-0.224616122,51.60964902,51.59894127
E01000261,E00001266,-0.246879415,-0.224479556,51.63047351,51.61705405
E01000262,E00001271,-0.222622494,-0.195205246,51.62545551,51.60867391
E01000263,E00001262,-0.251804588,-0.24177695,51.62494652,51.61602826
E01000264,E00001255,-0.256267092,-0.242172141,51.62454885,51.61274268
E01000265,E00001324,-0.163584448,-0.151636553,51.62688033,51.62188876
E01000266,E00001320,-0.174880835,-0.158105321,51.62880136,51.61891886
E01000267,E00001310,-0.177525312,-0.166949117,51.64414479,51.63795235
E01000268,E00001303,-0.190004451,-0.172908892,51.65013909,51.64400618
E01000269,E00001336,-0.187240665,-0.179757631,51.64710654,51.63905152
E01000270,E00001302,-0.181663206,-0.17052602,51.6489414,51.64135861
E01000271,E00001308,-0.18339675,-0.169543892,51.64348551,51.63462371
E01000272,E00001305,-0.175303905,-0.160271445,51.63869331,51.62927185
E01000273,E00001306,-0.176176584,-0.162535927,51.63539445,51.62801658
E01000274,E00001316,-0.167514335,-0.153883593,51.63158448,51.62453377
E01000275,E00001352,-0.19309155,-0.178838679,51.62558363,51.61604467
E01000276,E00001360,-0.202784981,-0.188478229,51.62570568,51.61436124
E01000277,E00001351,-0.187467341,-0.179519507,51.62128105,51.61597189
E01000278,E00001363,-0.199599039,-0.189203936,51.61778603,51.61059133
E01000279,E00001368,-0.237459282,-0.188255652,51.64237965,51.62297361
E01000280,E00001367,-0.197471133,-0.179128506,51.64087705,51.62747188
E01000281,E00001373,-0.177541068,-0.167754668,51.63406295,51.62493817
